时间,博主,内容,点赞,转发,评论,分词
"
                        2022年07月11日 18:58
                        ",按规矩算账,"
 回复 :好带货挣钱，钟薛高这个梗还没吃完/ :天炒作罗永浩，为什么要听他怎么说 ",赞, , 评论,回复 挣钱 钟薛高 炒作 罗永浩
"
                        2022年07月11日 18:56
                        ",希望夏日的到来,"
 钟薛高都有活动了 ​ ",赞, , 评论,钟薛高 活动
"
                        2022年07月11日 18:55
                        ",攻的受抚慰,"
 头一次知道钟薛高还是因为小费代言（下楼之后的第一个代言），他那礼盒还挺贵的，没记错的话划下来大概60➕一支，仅限北京天津几个城市配送吧。还好我没买 ​ ",赞, , 评论,钟薛高 小费 代言 下楼 第一个 代言 礼盒 挺贵 记错 一支 仅限 北京 天津 几个 城市 配送 还好 没买
"
                        2022年07月11日 18:49
                        ",张酉粟,"
 其实大家不是针对“钟薛高”或者“易烊千玺”，大多数的人对他们接触的不多，谈不上喜欢或者讨厌，之所以这么久的热度是因为它们代表了一些事实。 人们对“雪糕刺客”这样的价钱更加敏感；人们对“进体制内”更加努力。 都显示出人们确实生活变得艰难了，对价格更加在乎了，对稳定更加渴望了。 ​ ",10, , 1,钟薛高 易烊千玺 接触 不多 谈不上 喜欢 讨厌 这么久 热度 是因为 代表 事实 雪糕 刺客 价钱 敏感 体制 努力 显示 确实 生活 变得 艰难 价格 在乎 稳定 渴望
"
                        2022年07月11日 18:48
                        ",易遇桃,"
 热死了 钟薛高不化我都化了 ​ ",1, , 1,钟薛高 不化
"
                        2022年07月11日 18:46
                        ",摩尔投研,"
 【 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",3, , 2,日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 18:46
                        ",财智孙国英,"
 你咋看？【 】7月10日晚，罗永浩在直播间谈到最近钟薛高事件争议时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 评论,日晚 罗永浩 直播间 谈到 钟薛高 事件 争议 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 18:43
                        ",4茶泡饭,"
 钟薛高为什么要走黑红路线 国产雪糕出个高端品牌会有人买的 说吃不起不吃靠消费者吃饭这点觉悟也没有? ​ ",1, , 评论,钟薛高 黑红 路线 国产 雪糕 高端 品牌 有人 吃不起 不吃 消费者 吃饭 觉悟
"
                        2022年07月11日 18:42
                        ",快科技官方,"
 【罗永浩称拿火烤钟薛高精神有问题：劝网友先看检测报告再黑】近日，对于大家讨论热度十足的钟薛高，以及雪糕刺客的话题，罗永浩也做出了不少回应。尤其是对于火烤钟薛高的操作，罗永浩表示十分不理解。他在日前的一场直播中提到：“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火 ​ ",1, , 评论,罗永浩 火烤 钟薛高 精神 网友 检测 报告 近日 讨论 热度 十足 钟薛高 雪糕 刺客 话题 罗永浩 做出 回应 火烤 钟薛高 操作 罗永浩 理解 日前 一场 直播 提到 钟薛高 产品 有人
"
                        2022年07月11日 18:40
                        ",绩效宋劝其,"
 雪糕火啦 ​ ",1, , 1,雪糕
"
                        2022年07月11日 18:38
                        ",清清和ta看日落,"
 今天过了就是明天 ​ ",赞, , 1,明天
"
                        2022年07月11日 18:37
                        ",我爱围观,"
 新浪新闻 榜单出炉 ，本期值得关注的民生热点事件。 ，“卡拉胶”安全性存争议； 家长们不再相信这个行业；点击链接查看完整榜单内容> ​ ",128, , 35,新浪 新闻 榜单 出炉 本期 值得 关注 民生 热点 事件 卡拉胶 安全性 争议 家长 行业 点击 链接 查看 完整 榜单 内容
"
                        2022年07月11日 18:33
                        ",民生温度计,"
 新浪新闻 榜单出炉 ，本期值得关注的民生热点事件。 钟薛高31度室温下放1小时不化， ； ：坚决追究责任；更多榜单内容请戳> ​ ",赞, , 评论,新浪 新闻 榜单 出炉 本期 值得 关注 民生 热点 事件 钟薛高 31度 室温 下放 1小时 不化 追究责任 榜单 内容
"
                        2022年07月11日 18:32
                        ",magicJoJo_,"
 这文案是不是也值一块钱🙃 ​ ",1, , 1,文案 一块钱
"
                        2022年07月11日 18:31
                        ",鱼腥草和香菜摩多摩多,"
 我不否认烤雪糕的作法是否欠妥，钟薛高这是给你多少钱啊还帮你上个热搜 ​ ",5, , 1,否认 雪糕 作法 欠妥 钟薛高 多少钱 上个
"
                        2022年07月11日 18:31
                        ",零度coca要加冰,"
 论在冰箱发现一支不知道打开放了多久的钟薛高是什么体验 ​ ",赞, , 2,冰箱 发现 一支 开放 多久 钟薛高 体验
"
                        2022年07月11日 18:30
                        ",狗幽真的狗,"
 昨天才知道原来钟薛高是雪糕 今天一搜 神他妈贵 ​ ",赞, , 评论,昨天 钟薛高 雪糕
"
                        2022年07月11日 18:30
                        ",搜狐财经,"
 【 】7月10日晚，罗永浩在直播间谈到对钟薛高争议时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众 ​ ",2, , 评论,日晚 罗永浩 直播间 谈到 钟薛高 争议 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众
"
                        2022年07月11日 18:29
                        ",双鱼Jerome10,"
 看了老罗…原来钟薛高吃了会变你这样 ​ ",赞, , 评论,老罗 钟薛高
"
                        2022年07月11日 18:29
                        ",MMY的日常,"
 钟薛高会不会化我不知道。我是快要化了 ​ ",1, , 2,钟薛高
"
                        2022年07月11日 18:29
                        ",知食研究院,"
 作为一个已经创立四年的雪糕品牌，钟薛高从一开始就主打高价定位，但直到现在才引火烧身，“高温不化”引发的讨论，也是从品牌到产品的延伸。因此，这绝不是消费者的后知后觉。全民缉拿“雪糕刺客”的背后，实际上是一场针对平价消费的维权。 ​ ",赞, , 评论,创立 四年 雪糕 品牌 钟薛高 主打 高价 定位 直到现在 引火烧身 高温 不化 引发 讨论 是从 品牌 产品 延伸 消费者 后知后觉 全民 缉拿 雪糕 刺客 背后 实际上 一场 平价 消费 维权
"
                        2022年07月11日 18:27
                        ",新浪新闻客户端,"
 ，“卡拉胶”安全性存争议； ：坚决追究责任；点击链接查看完整榜单内容> ​ ",赞, , 评论,卡拉胶 安全性 争议 追究责任 点击 链接 查看 完整 榜单 内容
"
                        2022年07月11日 18:27
                        ",不运动会死星球,"
 近日，“钟薛高31度室温放置一小时不化”登上微博热搜，引发大量关注。事件起因是有网友上传了一段视频显示，在31摄氏度室温下，钟薛高品牌的雪糕静置一小时后仍然呈现块状，并非完全融化。因此，该网友质疑钟薛高雪糕添加了很多添加剂，才导致雪糕不 ​ ",赞, , 评论,近日 钟薛高 31度 室温 放置 一小时 不化 登上 博热 引发 关注 事件 起因 网友 上传 一段 视频 显示 摄氏度 室温 钟薛高 品牌 雪糕 静置 一小时 呈现 块状 融化 网友 质疑 钟薛高 雪糕 添加 添加剂 导致 雪糕
"
                        2022年07月11日 18:26
                        ",蓝鲸财经记者工作平台,"
 【鲸视频： 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",117, , 34,视频 日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 18:26
                        ",长健识了,"
 这几年不管是钟薛高也好，某些奶茶品牌也好，通过资本的包装，打造网红品牌、贩卖国货情怀已经成为一个套路。这套手法确实能在短时间内捧红某个产品，但如果性价比严重脱离群众，新鲜劲一过早晚都会跌落神坛。 ​ ",赞, , 评论,几年 钟薛高 奶茶 品牌 资本 包装 打造 网红 品牌 贩卖 国货 情怀 套路 手法 确实 短时间 产品 性价比 脱离群众 新鲜 一过 早晚都会 跌落 神坛
"
                        2022年07月11日 18:21
                        ",滑大头稽,"
 钟薛高，须尽欢，茅台冰淇淋[雪糕刺客]小布丁，雪莲，冰工厂，东北大板[雪糕护卫] ​ ",赞, , 评论,钟薛高 须尽欢 茅台 冰淇淋 雪糕 刺客 布丁 雪莲 工厂 东北 大板 雪糕 护卫
"
                        2022年07月11日 18:20
                        ",宅宅宅小懒ot,"
 钟薛高这波被反向安利，买了根轻牛乳，真好吃，味道不错。下次打折买点 ​ ",赞, , 评论,钟薛高 反向 安利 根轻 牛乳 好吃 味道 不错 下次 打折 买点
"
                        2022年07月11日 18:12
                        ",下午茶财经,"
 【 】7月10日晚，罗永浩在直播间谈到对钟薛高争议时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 评论,日晚 罗永浩 直播间 谈到 钟薛高 争议 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 18:11
                        ",凤凰网科技,"
 【 】 7月10日晚，罗永浩在直播间谈到对钟薛高争议时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",37, , 20,日晚 罗永浩 直播间 谈到 钟薛高 争议 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 18:11
                        ",kimjunrabbit,"
 再加上冰工厂 / :[雪糕刺客]钟薛高 [雪糕护卫]雪莲，小布丁，老冰棍 ",赞, , 评论,工厂 雪糕 刺客 钟薛高 雪糕 护卫 雪莲 布丁 冰棍
"
                        2022年07月11日 18:10
                        ",泥碟在吃瓜,"
 ？钟薛高为卅要放进专柜？我不李姐.直接放好丽友旁边不就好了吗？多浪费啊.常温商品非逼得人家搞个专柜.真是烦死了 ​ ",赞, , 评论,钟薛高 放进 专柜 李姐 放好 丽友 旁边 好了吗 浪费 常温 商品 逼得 专柜 烦死
"
                        2022年07月11日 18:07
                        ",贾敬华,"
 无论是雪糕，还是其他商品，我从来不买价格离谱的商品。哪怕是超市购物的时候已经放在购物车，结账的时候也会拿出来。所以，我这样的心态，还会怕雪糕刺客么？ 最近几年，以钟薛高为代表的雪糕非常火爆，但价格非常高。我也尝试吃过，但这些高价雪糕真不好吃。所以，并不是 ​ ",9, , 8,无论是 雪糕 商品 从来不 价格 离谱 商品 超市 购物 放在 购物车 结账 心态 雪糕 刺客 几年 钟薛高 代表 雪糕 火爆 价格 尝试 高价 雪糕 好吃
"
                        2022年07月11日 18:06
                        ",ireallylikeyoupuppy,"
 半不的 钟薛高没化 我快化了 ​ ",9, , 5,钟薛高 没化
"
                        2022年07月11日 18:05
                        ",大望财讯,"
 【 】7月10日晚，罗永浩在直播间谈到对钟薛高争议时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 评论,日晚 罗永浩 直播间 谈到 钟薛高 争议 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 17:58
                        ",姑娘请你吹口气,"
 被骂上热搜的钟薛高，到底做错了啥？ ​ ",赞, , 评论,钟薛高 做错
"
                        2022年07月11日 17:56
                        ",金融八卦女,"
 你认为呢 【 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",21, , 56,日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 17:43
                        ",惊蛰研究所,"
 事实上，5毛一包的雪莲冰，可能无法真正走进一二线城市的冰柜。而县城小卖部花绿的雪糕堆内，也翻不出一支设计素简的钟薛高。年轻人们在社交媒体上，可以为“雪糕护卫”大唱赞歌。但转身为一支“雪糕刺客”买单，似乎才是现实。 ",1, , 评论,事实上 一包 雪莲 走进 二线 城市 冰柜 县城 小卖部 花绿 雪糕 不出 一支 设计 素简 钟薛高 年轻 社交 媒体 雪糕 护卫 唱赞歌 转身 一支 雪糕 刺客 买单 现实
"
                        2022年07月11日 17:42
                        ",贝壳财经视频,"
 【 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",4, , 6,日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 17:35
                        ",Evan小甜i,"
 雪糕刺客[雪糕刺客]：钟薛高。雪糕护卫[雪糕护卫]：小布丁 ​ ",1, , 评论,雪糕 刺客 雪糕 刺客 钟薛高 雪糕 护卫 雪糕 护卫 布丁
"
                        2022年07月11日 17:34
                        ",今天十点一定睡觉,"
 现在互联网上时代的年轻人 真是让我开了眼了 首先 钟薛高贵 明显就是想走中国雪糕高端路线 和产品质量物有所值无关 他想打造的是品牌溢价 其次 被骂这么惨第一因为不化 第二因为背刺 可是这两个 ​ ",赞, , 评论,互联网 时代 年轻人 钟薛高 中国 雪糕 高端 路线 产品质量 物有所值 无关 打造 品牌 溢价 第一 不化 两个
"
                        2022年07月11日 17:28
                        ",高冷雪纳瑞波比,"
 你好 大刺客 ​ ",2, , 评论,你好 刺客
"
                        2022年07月11日 17:26
                        ",澳云软件JASTVIN,"
 【 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 1,日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 17:24
                        ",Berlen_菠萝,"
 这个一定要转，哈笑死了，今日最佳/ :钟…钟薛高？ / : ",赞, , 评论,哈笑 今日 最佳 钟薛高
"
                        2022年07月11日 17:20
                        ",私家生活笔记,"
 推荐【 】丝绒可雪糕牛奶巧克力口味的，贵有贵的道理，一分价钱一分货，味蕾不会骗人的！是真的好吃，还有，它会化！ ​ ",赞, , 评论,推荐 丝绒 雪糕 牛奶 巧克力 口味 有贵 道理 一分 价钱 一分货 味蕾 骗人 真的 好吃
"
                        2022年07月11日 17:13
                        ",DoNews,"
 【 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 1,日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 17:12
                        ",-我鱼干呢-,"
 [雪糕刺客]钟薛高，[雪糕护卫]老冰棍 ",赞, , 评论,雪糕 刺客 钟薛高 雪糕 护卫 冰棍
"
                        2022年07月11日 17:11
                        ",卑微研究生小张,"
 同口味第二根一元 ​ ",1, , 1,口味 第二根 一元
"
                        2022年07月11日 17:09
                        ",CPA卟炙釖,"
 哈根达斯有专卖店和专柜，钟薛高并没有，而且品质上也没有碾压哈根达斯，符合国家标准是一件值得宣扬的了不起的事吗？这不是产品流通的必然条件甚至是最低条件吗？收割虚荣税的林老板是个营销天才，于是自称高端的钟薛高得以一直潜伏在平价雪糕冰柜里，但假的就是假的，它一步 ​ ",6, , 4,哈根达斯 专卖店 专柜 钟薛高 品质 碾压 哈根达斯 符合 国家标准 一件 值得 宣扬 了不起 产品 流通 条件 最低 条件 收割 虚荣 老板 营销 天才 自称 高端 钟薛高 得以 潜伏 平价 雪糕 冰柜 一步
"
                        2022年07月11日 17:09
                        ",在某个街角,"
 钟薛高还是太刺了[雪糕刺客]，吃条巧乐兹来挡一下，哈[雪糕护卫] ​ ",赞, , 评论,钟薛高 雪糕 刺客 巧乐兹 雪糕 护卫
"
                        2022年07月11日 17:08
                        ",kina酱shere,"
 [雪糕刺客]：钟薛高 [雪糕护卫]：巧乐兹 ：希望快点到内地的&‘ ​ ",2, , 3,雪糕 刺客 钟薛高 雪糕 护卫 巧乐兹 希望 快点 内地
"
                        2022年07月11日 17:06
                        ",感情书店,"
 事实上，5毛一包的雪莲冰，无法真正走进一二线城市的冰柜。而县城小卖部花绿的雪糕堆内，也翻不出一支设计素简的钟薛高。 舆论中昂贵到离谱的雪糕刺客，和平价亲民的雪糕护卫，大部分时间，分属不同时空，对应着迥异的消费场景、人群，鲜少真正的交集。护卫们，未必真能保护消 ​ ",20, , 31,事实上 一包 雪莲 走进 二线 城市 冰柜 县城 小卖部 花绿 雪糕 不出 一支 设计 素简 钟薛高 舆论 昂贵 离谱 雪糕 刺客 平价 亲民 雪糕 护卫 大部分 时间 分属 时空 迥异 消费 场景 人群 鲜少 交集 护卫 未必 保护
"
                        2022年07月11日 17:03
                        ",亳州发布,"
 【夏日警惕“雪糕刺客” 你被“刺伤”过吗？】 “雪糕刺客”是“天价雪糕”代名词，指那些隐藏在冰柜里面，看着其貌不扬的雪糕，但当你拿去付钱的时候，却会被其价格狠“刺伤”。小亳日前走访发现，部分商店做到了明码标价，将价格明显的标识在冰柜上，以防“雪糕刺客”刺痛购买者的心。 ​ ",1, , 评论,夏日 警惕 雪糕 刺客 刺伤 雪糕 刺客 天价 雪糕 代名词 隐藏 冰柜 看着 其貌不扬 雪糕 但当 付钱 价格 刺伤 日前 走访 发现 商店 明码标价 价格 标识 冰柜 以防 雪糕 刺客 刺痛 购买者
"
                        2022年07月11日 17:01
                        ",ING直播,"
 【 】7月10日晚，在直播间中 时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 1,日晚 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 16:59
                        ",驱动中国官方,"
 【 】7月10日晚，罗永浩在直播间中表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",赞, , 评论,日晚 罗永浩 直播间 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 16:55
                        ",凯迪网络,"
 【 中国雪糕江湖，越来越乱】作为一个平无奇的日常消费品，这个夏天，雪糕竟然掀起一波又一波巨大的风浪。 先是“雪糕刺客”被吐槽，接着是网友开始自发“保护”低价的雪莲。不久后，钟薛高又因31度室温下一小时不化、火烤被烧焦等被网友吐槽上热搜。 按照蛋白质、脂肪含量 ​ ",2, , 2,中国 雪糕 江湖 越来越 无奇 日常 消费品 夏天 雪糕 掀起 风浪 先是 雪糕 刺客 网友 自发 保护 低价 雪莲 钟薛高 31度 室温 一小时 不化 火烤 烧焦 网友 上热 蛋白质 脂肪 含量
"
                        2022年07月11日 16:55
                        ",MiaojianInfo,"
 舆情传播 7月2日钟薛高在高温下1小时不化的话题冲上热搜，并迅速引发舆论关注；“雪糕不会化”这一反常现象，在短视频平台引发了更大范围的评测；打火机、吹风机、火喷枪纷上阵，话题持续了一周。 根据苗建信息舆情案例库显示，“钟薛高温不化”的热度指数已位居20 ​ ",赞, , 评论,舆情 传播 钟薛高 高温 1小时 不化 话题 上热 引发 舆论 关注 雪糕 反常现象 视频 平台 引发 评测 打火机 吹风机 喷枪 上阵 话题 持续 一周 苗建 信息 舆情 案例库 显示 钟薛高 不化 热度 指数 位居
"
                        2022年07月11日 16:54
                        ",温水饭饭,"
 钟薛高再搞一波无脑黑怒砸雪糕店的新闻，舆论风向马上拐弯 ​ ",赞, , 评论,钟薛高 无脑 黑怒 雪糕 新闻 舆论 风向 拐弯
"
                        2022年07月11日 16:53
                        ",go鹏向前冲,"
 我证明，你们 家雪糕是会化的，没有打火机烤哦 ​ ",1, , 1,证明 雪糕 会化 打火机
"
                        2022年07月11日 16:53
                        ",快NA,"
 我每次出门都感觉自己是钟薛高，虽然很热，但是化不掉 ​ ",1, , 评论,每次 出门 感觉 钟薛高 化不掉
"
                        2022年07月11日 16:52
                        ",薛亦樊,"
 [雪糕刺客]吃雪糕吗？我这还有一个。 钟薛高这个丝绒可的味道还可以。 ​ ",19, , 21,雪糕 刺客 雪糕 钟薛高 丝绒 味道
"
                        2022年07月11日 16:51
                        ",Twilight_Reyk,"
 / :[雪糕刺客]钟薛高 [雪糕护卫]雪莲，小布丁，老冰棍 ",赞, , 评论,雪糕 刺客 钟薛高 雪糕 护卫 雪莲 布丁 冰棍
"
                        2022年07月11日 16:50
                        ",没有脖子的阿远,"
 钟薛高都扛不住 ​ ",赞, , 3,钟薛高 扛不住
"
                        2022年07月11日 16:49
                        ",乌漆麻黑的毒苹果,"
 哈根达斯真的是味道特别的好吃呢，所以钟薛高这个价格还是过高了吧/ :哈根达斯高低还有独立店门 ",赞, , 评论,哈根达斯 真的 味道 特别 好吃 钟薛高 价格 哈根达斯 独立 店门
"
                        2022年07月11日 16:49
                        ",老板联播,"
 【 】7月10日晚，罗永浩在直播间谈到最近钟薛高事件争议时表示，“钟薛高这个产品，我自己认为是做得非常好的。现在有人在搞它，你拿火烤一个雪糕，你肯定就精神有问题。如果检测机构的最终结论说它质量有问题，我为卖过和为它站过台对公众道歉。” ​ ",343205, , 15442,日晚 罗永浩 直播间 谈到 钟薛高 事件 争议 钟薛高 产品 有人 火烤 雪糕 肯定 精神 检测 机构 最终 结论 质量 卖过 公众 道歉
"
                        2022年07月11日 16:47
                        ",晓晓晓傲,"
 【 ，网友：贵不是让人讨厌的原因】7月10日， 在交个朋友直播间中谈到近日有关 的争议。罗永浩表示：第一，钟薛高按质量算价格没有哈根达斯贵；第二，在价格比哈根达斯便宜的情况下，钟薛高的品质一定是碾压式的好过哈根达斯。罗永浩此前在直播间中也曾表示，即 ​ ",赞, , 评论,网友 讨厌 原因 朋友 直播间 谈到 近日 争议 罗永浩 第一 钟薛高 质量 价格 哈根达斯 价格比 哈根达斯 便宜 情况 钟薛高 品质 碾压 哈根达斯 罗永浩 此前 直播间
"
                        2022年07月11日 16:46
                        ",我有一头小黄毛,"
 自贡度假结束 由于高温基本上没怎么飞 天气实在是太热了 大晚上十点钟34度你受得了吗 自贡菜倒是吃了不少 这个雪糕一直都很好吃 相对钟薛高来说并不贵 但是也有💰4了 20度的啤酒 下午的1冲刺排位赛 还是比较安逸的 ​ ",5, , 7,自贡 度假 结束 高温 天气 实在 晚上 十点钟 受得了 自贡 雪糕 好吃 钟薛高 不贵 啤酒 下午 冲刺 排位赛 安逸
"
                        2022年07月11日 16:45
                        ",谷京陆,"
 最近一段时间，雪糕刺客的称号，让网红品牌钟薛高被推向了舆论的风口浪尖，成了网友们口诛笔伐的对象。网友的吐槽最主要是集中在价格太贵上，额外的还提到了不融化、火烤不化等。对此，罗永浩作为曾经多次带货过钟薛高的主播，也在直播中公开谈论了关于钟薛高被吐槽价格贵的问题。乌龟找王八！ ​ ",赞, , 评论,一段时间 雪糕 刺客 称号 品牌 钟薛高 推向 舆论 风口浪尖 网友 口诛笔伐 对象 网友 价格 太贵 额外 提到 融化 火烤 不化 对此 罗永浩 带货 钟薛高 主播 直播 公开 谈论 钟薛高 价格 乌龟 王八
"
                        2022年07月11日 16:44
                        ",微博民生,"
 新浪新闻 榜单出炉 ，本期值得关注的民生热点事件。 ，“卡拉胶”安全性存争议； ；点击链接查看完整榜单内容> ​ ",赞, , 评论,新浪 新闻 榜单 出炉 本期 值得 关注 民生 热点 事件 卡拉胶 安全性 争议 点击 链接 查看 完整 榜单 内容
"
                        2022年07月11日 16:43
                        ",马上谈,"
 罗永浩谈国产品牌钟薛高被这么多人黑有些不正常。他称钟薛高价格比哈根达斯便宜，品质碾压哈根达斯，但为什么没人黑哈根达斯？钟薛高却十几天几十个热搜专黑钟薛高？ 太君其他不说，这个说的有道理，与我几天前观点不谋而合，钟薛高不分柜成了“雪糕刺客”、而且高温不化，一两个热搜嘻哈也就过去 ​ ",649, , 107,罗永浩 国产品牌 钟薛高 钟薛高 价格比 哈根达斯 便宜 品质 碾压 哈根达斯 没人黑 哈根达斯 钟薛高 十几天 几十个 钟薛高 太君 道理 几天 观点 不谋而合 钟薛高 不分柜 雪糕 刺客 高温 不化 一两个
"
                        2022年07月11日 16:41
                        ",R橘子汽水6688,"
 老冰棍。钟薛高 ",赞, , 评论,冰棍 钟薛高
"
                        2022年07月11日 16:40
                        ",帅真财经,"
 发布了文章 《钟薛高：一场劣币驱逐良币的资本游戏》 ​ ",3, , 评论,发布 文章 钟薛高 一场 劣币 驱逐 良币 资本 游戏
"
                        2022年07月11日 16:40
                        ",视听真理,"
 油炸钟薛高，竟出奇的好吃。 7月9日，江西宜春一男子突发奇想，将钟薛高雪糕进行包糠油炸。 雪糕裹上面包糠放入油锅，稍微油炸一会儿就出锅，出油锅后雪糕也没有融化，还保持原有的形状。 男子抹上番茄酱，味道竟然出奇的好吃。 ​ ",赞, , 1,油炸 钟薛高 出奇 好吃 江西 宜春 男子 突发奇想 钟薛高 雪糕 包糠 油炸 雪糕 面包 放入 油锅 稍微 油炸 一会儿 油锅 雪糕 融化 原有 形状 男子 番茄酱 味道 出奇 好吃
"
                        2022年07月11日 16:39
                        ",我要测网,"
 近日，南京市场监管局组织开展了夏季热销食品专项监督， 等20多个品牌 公布 。 附赠几个小提示送给大家！欢迎大家转发分享。 ​ ",赞, , 1,近日 南京 市场 监管局 组织 夏季 热销 食品 专项 监督 多个 品牌 公布 附赠 几个 小提示 送给 转发 分享
"
                        2022年07月11日 16:38
                        ",TAGO她购,"
 体感温度40+温度下，给大家看钟薛高、雪糕刺客以及普通雪糕的融化速度 钟薛高 测评 ​ ",赞, , 评论,体感 温度 温度 钟薛高 雪糕 刺客 雪糕 融化 速度 钟薛高 测评
"
                        2022年07月11日 16:30
                        ",长健识了,"
 钟薛高、哈根达斯、喜茶…雪糕刺客大试吃！ ​ ",赞, , 评论,钟薛高 哈根达斯 喜茶 雪糕 刺客 试吃
"
                        2022年07月11日 16:29
                        ",大女人木木110,"
 哈根达斯的价格里包括大量品牌溢价，算是别人花大价钱做广告、时间的沉淀换来的，钟薛高有啥？除了在超市里见过几个专用冰柜？现在想做高端产品，一拍脑壳就定价了吗？人家小罐茶竹叶青做了多少广告？像你说的，谁都可以0成本做高价（并不等于高端）产品了，你可以给自己的产品打广告，钟薛高老板配吗 ",赞, , 评论,哈根达斯 价格 包括 品牌 溢价 算是 花大 价钱 做广告 时间 沉淀 换来 钟薛高 超市 几个 专用 冰柜 高端 产品 脑壳 定价 竹叶青 广告 成本 高价 并不等于 高端 产品 产品 打广告 钟薛高 老板
